상품명,상세페이지링크,가격
"LG전자 2020 그램 2in1 노트북 14TD90N-VX50K (i5-10210U 35.5cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1662926012?itemId=2140776952&vendorItemId=70139167179,1434600
"에이수스 TUF 게이밍 노트북 FA506IH-BQ024 (R5-4600H 39.6cm RAM 8G SSD 512G WIN미포함 GTX1650), 미포함, NVMe 512GB, 8GB",https://www.coupang.com/vp/products/1653983626?itemId=2817915001&vendorItemId=70807429538,869000
"디클 클릭북 D11 화이트 11인치 쿼드코어 윈도우10포함, 화이트/2G/32GB/11.6/W10s★증정★마우스/패드, D11/쿼드Z8350▶FHD IPS",https://www.coupang.com/vp/products/245869762?itemId=779318540&vendorItemId=5314861296,253000
"삼성전자 노트북 Pen S NT930SBE-K716A (i7-8565U 33.7cm 터치스크린), NVMe 256GB, 16GB, WIN10 Home",https://www.coupang.com/vp/products/170676243?itemId=488184393&vendorItemId=4233614571,1799000
"디클 클릭북 노트북 D15 화이트 (샐러론 N4100 39.6cmFHD WIN미포함) + 유선마우스 + 패드, 미포함, SSD 128GB, 8GB",https://www.coupang.com/vp/products/1066066788?itemId=2012867972&vendorItemId=70012688013,337490
"LG전자 그램14 노트북 14Z90N-VR36K 스노우 화이트 (i3-1005G1 35.5cm), NVMe 512GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1662874354?itemId=2222859161&vendorItemId=70220537773,1300500
"삼성전자 2020 갤럭시북 플렉스 NT950QCG-X71SA (i7-1065G7 39.6cm MX250), NVMe 1TB, 16GB, WIN10 Home",https://www.coupang.com/vp/products/1665581980?itemId=2472280392&vendorItemId=70298932323,2599000
"Apple 2020 맥북 에어 13, Silver, 10세대 i5-1.1GHz quad-core, SSD 512GB, 8GB",https://www.coupang.com/vp/products/1395425733?itemId=2430730753&vendorItemId=70424683927,1658000
"LG전자 2019 그램15 노트북 15ZD990-LX10K (팬티엄 5405U 39.6cm), SSD 128GB, 4GB, Free DOS",https://www.coupang.com/vp/products/298202794?itemId=939058781&vendorItemId=5324099851,977900
"삼성전자 2020 갤럭시북 플렉스 NT950QCT-A58A 로얄블루 (i5-1035G4 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1172080085?itemId=2150117401&vendorItemId=70148441890,1939000
